m,n,r,d,A_norm_0,AMP_norm_0,AMP_norm_1,norm_0_mean,norm_1_mean,time_mean
1000,100,75,10,7743.2,4740.4,12.02642927,5161.6,6.248588568,2.9188132
1000,100,75,25,7803.2,4523.2,5.650277513,4955.4,2.955335519,3.05269236
1000,200,150,10,31004.4,18770,37.84078714,20338.6,20.66018468,7.86507198
1000,200,150,25,31482.8,17769.2,18.02287418,19343.4,9.946185734,13.31533016
1000,300,225,10,69610,42298.8,80.07718786,45486.8,47.18546023,14.24951154
1000,300,225,25,71012.8,39571.2,38.17524717,42819.6,22.68416186,22.26979198
1000,400,300,10,124154.8,74795.6,146.0036117,80557.2,91.5250034,29.05734448
1000,400,300,25,124733.6,70079.6,69.00465236,75856.8,43.45841742,51.94245082
1000,500,375,10,194517.6,116468,245.8199987,125826.2,162.2931985,43.560192
1000,500,375,25,194726.8,109638.8,115.4293695,118795.4,76.28191185,79.3526024
